2,10,10.0
3,79,10.0
3,84,13.0
4,6,54.0
4,95,13.0
6,17,10.0
6,23,18.0
6,25,10.0
6,32,10.0
6,34,22.0
6,37,18.0
6,38,24.0
6,41,76.0
6,47,14.0
6,57,18.0
6,59,22.0
6,61,31.0
6,62,16.0
6,63,14.0
6,64,28.0
6,67,14.0
6,71,11.0
6,73,11.0
6,88,10.0
6,91,16.0
6,96,21.0
6,99,25.0
8,6,74.0
8,8,90.0
8,12,15.0
8,29,39.0
8,35,14.0
8,36,16.0
8,40,10.0
8,50,31.0
8,51,18.0
8,56,16.0
8,75,14.0
8,80,16.0
8,81,20.0
8,85,26.0
8,98,15.0
8,100,15.0
9,10,12.0
9,30,24.0
9,33,93.0
9,83,28.0
10,3,14.0
10,4,20.0
10,6,60.0
10,7,26.0
10,9,35.0
10,12,47.0
10,18,12.0
10,24,20.0
10,27,12.0
10,33,12.0
10,35,21.0
10,48,76.0
10,50,16.0
10,53,15.0
10,56,16.0
10,60,15.0
10,75,26.0
10,76,14.0
10,85,10.0
10,89,14.0
10,90,17.0
10,93,29.0
10,100,25.0
10,102,17.0
10,103,17.0
11,94,17.0
12,6,81.0
12,15,18.0
12,45,15.0
12,76,10.0
12,103,15.0
15,5,15.0
15,47,10.0
16,24,14.0
19,47,10.0
21,60,12.0
22,60,11.0
23,10,12.0
24,6,11.0
24,103,12.0
26,11,18.0
27,10,13.0
28,10,10.0
29,9,17.0
29,46,36.0
30,10,10.0
30,33,30.0
31,33,34.0
33,6,10.0
34,39,56.0
34,78,12.0
35,79,10.0
35,83,12.0
38,10,10.0
39,21,13.0
40,101,11.0
41,62,78.0
42,6,14.0
43,33,12.0
45,6,21.0
46,14,12.0
47,9,10.0
47,10,12.0
48,5,12.0
48,6,11.0
49,10,11.0
50,1,15.0
50,83,30.0
51,6,38.0
51,7,10.0
51,10,10.0
51,45,11.0
51,60,16.0
51,75,23.0
52,60,12.0
54,10,12.0
54,75,10.0
55,10,12.0
56,8,18.0
56,10,19.0
56,24,27.0
60,7,12.0
60,13,14.0
60,15,14.0
60,20,10.0
60,44,38.0
60,45,13.0
60,58,11.0
60,70,12.0
60,80,25.0
60,103,25.0
61,8,13.0
62,8,14.0
62,10,49.0
62,60,10.0
62,82,17.0
63,60,12.0
65,75,13.0
66,102,18.0
67,60,12.0
68,6,16.0
69,1,10.0
69,9,11.0
71,60,14.0
73,60,14.0
74,26,11.0
74,34,10.0
75,3,10.0
75,6,89.0
75,7,10.0
75,33,54.0
75,45,10.0
75,55,10.0
75,70,10.0
75,76,10.0
75,79,11.0
75,103,11.0
76,6,13.0
76,9,13.0
76,50,10.0
77,6,13.0
79,30,15.0
80,21,13.0
80,72,12.0
80,74,11.0
80,99,12.0
81,0,11.0
82,51,45.0
82,75,21.0
82,100,19.0
83,14,24.0
83,81,13.0
84,30,18.0
85,3,33.0
86,85,10.0
90,6,14.0
92,87,12.0
93,6,15.0
93,75,19.0
93,103,17.0
94,98,13.0
97,6,30.0
98,104,10.0
99,10,17.0
101,10,10.0
102,6,44.0
102,103,11.0
